t,hr,eda,spo2,accel,ambient_temp,ambient_noise,device_id,Battery_level
53.5,76.84730755,0.728879066,87,1,32.8677508,77.2,1,94.65
53.75,87.5896922,0.32367633,88,1,32.60344677,61.3,1,94.625
54,72.27174785,0.578202739,92,1,33.30859141,33.4,1,94.6
54.25,77.63181393,0.40883827,99,2,33.43813553,31.4,1,94.575
54.5,75.14636452,0.49800816,96,1,33.30116015,79.2,1,94.55
54.75,80.81874139,0.475211988,85,0,32.90798472,36.3,1,94.525
55,103.1465857,0.457168174,95,0,33.30005047,55.5,1,94.5
55.25,61.32734807,0.498953487,96,0,33.63464738,73.4,1,94.475
55.5,86.8626019,0.386582885,90,1,33.47755348,41,1,94.45
55.75,63.87284129,0.602918044,93,1,33.59125052,69.1,1,94.425
56,75.28068134,0.320585649,92,1,33.1649424,69.2,1,94.4
56.25,90.88950597,0.553976451,100,2,34.08585896,37.5,1,94.375
56.5,80.64280019,0.467346415,92,0,32.91191333,70.8,1,94.35
56.75,69.22255222,0.382907511,94,1,33.74378015,35.1,1,94.325
57,72.84696291,0.520238337,99,0,34.09094555,70.4,1,94.3
57.25,86.79597749,0.344304891,97,1,33.74045405,55.9,1,94.275
57.5,72.69633368,0.503971382,99,1,33.39873789,49.4,1,94.25
57.75,82.1645859,0.357712309,90,0,33.23585148,42.6,1,94.225
58,80.4557184,0.546127208,85,0,34.01804383,43.8,1,94.2
58.25,73.48399652,0.407564267,92,0,32.78851254,63.5,1,94.175
58.5,101.4394409,0.454900598,88,2,33.01493787,68.7,1,94.15
58.75,86.33919022,0.529394939,85,2,33.30122112,76.3,1,94.125
59,59.74857413,0.422745789,90,1,34.11882688,70.1,1,94.1
59.25,81.86454315,0.4942036,93,1,33.68988382,50.6,1,94.075
59.5,73.38213535,0.34861695,93,0,33.01597712,33.7,1,94.05
59.75,88.52433335,0.56308756,97,0,33.34484615,41.6,1,94.025
60,72.07479262,0.676491381,96,2,33.19283843,44.7,1,94
60.25,78.85263559,0.779220887,93,0,33.1451055,48.7,1,93.975
60.5,85.04987279,0.509116815,87,3,33.98944478,51.2,1,93.95
60.75,88.65755194,0.578820414,86,1,32.81412844,67,1,93.925
61,67.99703593,0.321937433,93,0,34.30439043,55.2,1,93.9
61.25,76.65498764,0.650273433,95,0,33.91411485,63.5,1,93.875
61.5,75.25054689,0.57762285,97,1,34.04543084,74.1,1,93.85
61.75,73.46670767,0.451606656,100,1,33.26853024,66.1,1,93.825
62,97.6545424,0.62371808,90,0,33.42502964,57,1,93.8
62.25,84.04981711,0.474552392,88,1,32.78342409,33.7,1,93.775
62.5,67.39116046,0.454197482,87,0,33.2376688,72.9,1,93.75
62.75,89.17861947,0.547533493,86,1,33.74682742,41,1,93.725
63,101.221562,0.39366455,89,4,34.14803153,41,1,93.7
63.25,90.32465261,0.602162476,94,1,32.94642159,38.1,1,93.675
63.5,64.80630034,0.394401019,92,0,33.31724703,66.6,1,93.65
63.75,75.15765927,0.394994521,99,0,33.42435039,75.8,1,93.625
64,92.66911149,0.409031021,90,0,32.8021054,57.6,1,93.6
64.25,72.92330534,0.575950004,95,1,33.79567462,64.8,1,93.575
64.5,84.43819428,0.438322464,90,1,33.13800483,41.7,1,93.55
64.75,87.74634053,0.365200422,90,2,33.40230482,34.3,1,93.525
65,70.73069528,0.439432,90,1,33.27402531,52.1,1,93.5
65.25,79.40474644,0.496795763,99,0,33.10533075,32.5,1,93.475
65.5,47.5873266,0.381902752,85,2,33.49647751,30.7,1,93.45
65.75,69.75612359,0.384831889,10,0,33.39219521,67.8,1,93.425
66,77.47431849,0.711129633,89,0,33.31407106,58.1,1,93.4
66.25,67.52216818,0.41394346,92,2,33.13576919,73.9,1,93.375
66.5,96.32411304,0.467695763,100,2,33.65976234,32.8,1,93.35
66.75,65.69858622,0.4632763,94,3,34.32680863,49.9,1,93.325
67,75.59955513,0.457864319,97,2,33.56994362,50.3,1,93.3
67.25,81.30740577,0.562134674,87,0,33.99805911,62.9,1,93.275
67.5,94.41273289,0.594814295,90,1,32.80488904,40,1,93.25
67.75,65.64137849,0.469404557,93,1,33.57888072,57.4,1,93.225
68,91.63163752,0.376352171,99,0,32.95131584,37.4,1,93.2
68.25,80.10233061,0.627444023,96,0,32.76153754,56.7,1,93.175
68.5,70.18491349,0.490465891,97,0,33.1303143,43.5,1,93.15
68.75,84.62103474,0.673032181,92,0,34.09594967,63.2,1,93.125
69,81.99059696,0.27544141,98,1,33.97500791,49.9,1,93.1
69.25,73.99783123,0.519540322,86,2,33.62150236,41.5,1,93.075
69.5,80.69802085,0.691860633,92,1,32.73364972,32.6,1,93.05
69.75,76.14686403,0.464673586,92,1,33.40185967,41.6,1,93.025
70,81.13517345,0.477450658,89,0,33.65085,43.9,1,93
70.25,86.62130675,0.529551169,93,0,33.58776811,68.7,1,92.975
70.5,95.86016816,0.444120418,99,0,32.57810321,73,1,92.95
70.75,67.62184501,0.468792807,88,1,33.05484108,79.9,1,92.925
71,101.3303337,0.466218491,85,4,33.46796112,59,1,92.9
71.25,60.479122,0.437257927,94,1,33.76814545,34.1,1,92.875
71.5,78.48214905,0.622885655,98,3,32.40193609,30.2,1,92.85
71.75,85.88317206,0.546107803,89,1,33.41893801,38.4,1,92.825
72,82.80991868,0.525062823,88,0,33.57152438,43.5,1,92.8
72.25,73.7730048,0.580857101,99,1,33.92480599,34.2,1,92.775
72.5,77.9187775,0.473564417,90,1,33.84642879,76.5,1,92.75
72.75,75.06999065,0.422579618,92,2,33.79128566,43.3,1,92.725
73,74.10635243,0.43973757,99,2,33.10002975,41.7,1,92.7
73.25,88.49602097,0.500178304,86,1,32.54599893,55.7,1,92.675
73.5,83.57015486,0.394078829,98,0,33.30347362,47.1,1,92.65
73.75,73.07090405,0.449973898,92,1,34.00081591,51.6,1,92.625
74,88.99599875,0.448388336,99,2,34.19672726,43.3,1,92.6
74.25,83.07299521,0.712455623,100,0,33.85527455,76,1,92.575
74.5,88.12862119,0.222618506,93,1,33.71467041,49.7,1,92.55
74.75,86.29628842,0.482038028,87,1,33.68981982,77.4,1,92.525
75,71.71004989,0.672569379,95,1,33.22194063,66.6,1,92.5
75.25,74.3981896,0.512184446,91,0,33.43496985,40.9,1,92.475
75.5,87.47293605,0.575341747,91,0,34.33453476,66.1,1,92.45
75.75,86.10370265,0.509982632,100,0,33.028721,37,1,92.425
76,79.79098406,0.433266662,88,0,34.3073894,62.5,1,92.4
76.25,81.17327383,0.275808407,95,0,33.33898592,42.2,1,92.375
76.5,92.77664896,0.520545569,98,2,34.16271605,56.7,1,92.35
76.75,74.08428611,0.42243934,87,3,32.7965925,47.8,1,92.325
77,85.47097381,0.419966459,90,1,33.7929521,59,1,92.3
77.25,77.97807348,0.450101274,100,0,33.13161493,65.8,1,92.275
77.5,77.82318797,0.674486141,93,2,32.7923664,52.9,1,92.25
77.75,90.98776852,0.740483754,93,1,33.60926702,48.1,1,92.225
78,88.25416349,0.521720794,91,0,34.00473589,38.9,1,92.2
78.25,88.13509636,0.453523278,89,0,33.07752928,66.1,1,92.175
78.5,93.05478807,0.382277358,94,3,32.75049202,74.9,1,92.15
78.75,80.21003842,0.546854016,85,1,33.45407762,79.1,1,92.125
79,86.81952971,0.67829056,94,0,33.45628234,30.7,1,92.1
79.25,76.89733243,0.475265961,93,1,33.77415981,68.7,1,92.075
79.5,83.24166352,0.262100396,100,0,33.97479729,49.4,1,92.05
79.75,78.69856946,0.567004967,89,1,33.47029241,79.2,1,92.025
80,80.96995965,0.598539971,98,0,34.42775166,34.3,1,92
80.25,85.95157025,0.341415436,92,0,33.61211737,63.1,1,91.975
80.5,71.81779317,0.517648418,98,0,33.32678675,50.3,1,91.95
80.75,100.9238728,0.545122602,85,0,32.69421632,79.1,1,91.925
81,69.93982619,0.49268927,86,0,33.36867024,36.3,1,91.9
81.25,67.85811387,0.420922908,95,1,33.33180653,43.6,1,91.875
81.5,91.58110874,0.601593722,87,1,33.9801524,67.3,1,91.85
81.75,87.91662694,0.459662025,94,1,33.73124181,73.7,1,91.825
82,86.24119817,0.351481384,85,0,32.91031544,70,1,91.8
82.25,86.28345509,0.295052551,91,1,33.58612719,43.3,1,91.775
82.5,79.87753227,0.626084952,99,0,33.83576559,58.8,1,91.75
82.75,71.02745629,0.561666398,86,0,34.26401568,71.5,1,91.725
83,80.75804558,0.508797355,91,1,33.94375198,74.4,1,91.7
83.25,73.22838288,0.455972536,97,2,33.88042333,51.5,1,91.675
83.5,89.75119733,0.447100159,89,1,33.530043,42.5,1,91.65
83.75,78.52942618,0.392426335,94,0,33.694156,71.5,1,91.625
84,71.74502803,0.456854436,100,0,34.12475245,50.9,1,91.6
84.25,76.78614158,0.287991278,88,0,32.8336113,52.1,1,91.575
84.5,84.12931454,0.426393635,93,0,33.32528034,44.5,1,91.55
84.75,74.36275447,0.468906248,96,0,33.11371563,59,1,91.525
85,71.77779604,0.560988005,98,0,33.68957656,71.4,1,91.5
85.25,82.43687211,0.496007354,93,3,34.11511109,40.5,1,91.475
85.5,82.44966571,0.579492311,95,1,33.20151286,56.1,1,91.45
85.75,74.93056825,0.634913511,99,0,32.30484782,68.7,1,91.425
86,75.28961694,0.605817009,85,0,33.29388963,59.5,1,91.4
86.25,82.32049937,0.547050985,86,2,33.95673687,49.8,1,91.375
86.5,65.51915659,0.501186268,93,0,33.76881495,75.3,1,91.35
86.75,65.92536226,0.401921199,87,1,33.71409312,62.4,1,91.325
87,72.81555779,0.573994405,86,0,33.36000335,76,1,91.3
87.25,77.86552848,0.667974738,90,0,32.86048463,59.7,1,91.275
87.5,83.10907566,0.534210604,99,1,33.75764716,75.6,1,91.25
87.75,94.75356217,0.691725915,98,0,33.08285909,70.8,1,91.225
88,88.57659623,0.347442829,94,0,34.59204837,68.7,1,91.2
88.25,78.4006147,0.384583662,99,2,33.7852536,58,1,91.175
88.5,79.80983792,0.585520151,97,4,33.20967585,61.4,1,91.15
88.75,69.97470635,0.526429021,98,1,33.19430738,73.9,1,91.125
89,79.81486864,0.631378218,96,2,33.4535279,40,1,91.1
89.25,77.11341361,0.498452836,87,4,33.38024904,40.9,1,91.075
89.5,83.2271856,0.413202458,97,3,34.05841689,33.6,1,91.05
89.75,71.72769056,0.478640676,96,1,33.59320808,52.9,1,91.025
90,85.19346514,0.346731603,91,0,33.13418413,74.1,1,91
90.25,95.32738913,0.387140933,87,2,34.44522034,41.4,1,90.975
90.5,78.91239852,0.5972444,93,0,33.52465417,31.3,1,90.95
90.75,84.01711722,0.587278741,85,3,33.88441984,32.9,1,90.925
91,86.90143992,0.536300428,92,0,33.19588675,63.6,1,90.9
91.25,75.98779528,0.327892248,94,0,33.68155781,70.2,1,90.875
91.5,82.24092482,0.464159642,99,0,33.655555,67.8,1,90.85
91.75,80.12592401,0.377500011,95,1,32.55517535,44.8,1,90.825
92,80.97676099,0.617653325,96,1,34.50763756,53.6,1,90.8
92.25,72.26990216,0.441627787,95,2,34.14532223,50.6,1,90.775
92.5,80.24510174,0.391425229,93,1,33.30140234,35.8,1,90.75
92.75,84.97998291,0.502979617,91,0,32.94886513,34.7,1,90.725
93,94.51143608,0.435984554,98,1,33.67378081,41.7,1,90.7
93.25,89.59270826,0.648374391,95,2,33.54334885,77.5,1,90.675
93.5,101.5318246,0.42651891,96,0,33.67783447,58.5,1,90.65
93.75,72.32652437,0.360077174,91,2,33.5957887,67.6,1,90.625
94,88.72320637,0.284708648,94,2,33.75312049,38.3,1,90.6
94.25,81.83342006,0.49692135,93,0,34.22365285,56.7,1,90.575
94.5,101.8980293,0.443806989,93,2,33.7840516,68.2,1,90.55
94.75,71.91701715,0.357109539,96,2,32.97517225,38.4,1,90.525
95,71.60278158,0.618922646,99,2,34.18128143,65.2,1,90.5
95.25,74.00607355,0.566724515,92,0,34.32030728,77.5,1,90.475
95.5,58.76104276,0.497178212,99,1,35.07602837,73.4,1,90.45
95.75,74.74244978,0.636432624,97,1,32.93825298,66.3,1,90.425
96,72.40867338,0.566253603,88,1,33.62144101,30.8,1,90.4
96.25,81.50393786,0.41771441,96,2,32.45895065,36.6,1,90.375
96.5,83.41755976,0.396077984,99,2,33.77657458,33.4,1,90.35
96.75,98.76170839,0.581798154,93,1,33.22589985,37.4,1,90.325
97,89.50423838,0.539636696,86,1,34.4617229,45.5,1,90.3
97.25,74.23096344,0.516974777,99,0,33.11269251,61.1,1,90.275
97.5,71.01585329,0.41535022,92,1,32.65540848,50.3,1,90.25
97.75,84.91919172,0.560794757,91,1,33.26436813,79.1,1,90.225
98,66.79766793,0.424450112,92,1,32.51225611,54.6,1,90.2
98.25,98.31458766,0.489801335,96,1,33.87554973,66.9,1,90.175
